TimeCST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,46.0,39.0,76,30.19,10.0,ENE,11.5,-,0.00,,Overcast,60,2009-11-16 06:51:00
1:51 AM,46.0,39.0,76,30.21,10.0,NE,11.5,-,N/A,,Overcast,40,2009-11-16 07:51:00
2:51 AM,46.0,37.0,71,30.21,10.0,ENE,15.0,-,N/A,,Overcast,60,2009-11-16 08:51:00
3:51 AM,45.0,37.0,74,30.20,10.0,ENE,15.0,19.6,0.00,Rain,Light Rain,60,2009-11-16 09:51:00
4:51 AM,45.0,37.0,74,30.20,10.0,ENE,11.5,-,0.00,,Overcast,60,2009-11-16 10:51:00
5:51 AM,45.0,36.0,71,30.21,10.0,ENE,11.5,-,N/A,,Overcast,60,2009-11-16 11:51:00
6:51 AM,44.1,35.1,71,30.22,10.0,ENE,13.8,-,N/A,,Overcast,60,2009-11-16 12:51:00
7:51 AM,44.1,36.0,73,30.22,10.0,NE,17.3,27.6,N/A,,Overcast,50,2009-11-16 13:51:00
8:51 AM,45.0,36.0,71,30.23,10.0,ENE,17.3,25.3,N/A,,Overcast,60,2009-11-16 14:51:00
9:51 AM,45.0,36.0,71,30.23,10.0,ENE,17.3,24.2,N/A,,Overcast,60,2009-11-16 15:51:00
10:51 AM,45.0,36.0,71,30.22,10.0,ENE,17.3,25.3,N/A,,Overcast,60,2009-11-16 16:51:00
11:51 AM,45.0,36.0,71,30.21,10.0,ENE,17.3,-,N/A,,Overcast,60,2009-11-16 17:51:00
12:51 PM,45.0,36.0,71,30.17,10.0,ENE,16.1,-,N/A,,Overcast,60,2009-11-16 18:51:00
1:51 PM,46.9,36.0,66,30.16,10.0,NE,15.0,23.0,N/A,,Overcast,50,2009-11-16 19:51:00
2:51 PM,46.9,35.1,63,30.16,10.0,NE,16.1,25.3,N/A,,Mostly Cloudy,50,2009-11-16 20:51:00
3:51 PM,46.0,35.1,66,30.16,10.0,NE,18.4,27.6,N/A,,Mostly Cloudy,50,2009-11-16 21:51:00
4:51 PM,46.0,35.1,66,30.16,10.0,NE,19.6,27.6,N/A,,Overcast,50,2009-11-16 22:51:00
5:51 PM,46.9,33.1,59,30.17,10.0,NE,15.0,25.3,N/A,,Overcast,50,2009-11-16 23:51:00
6:51 PM,46.9,32.0,56,30.17,10.0,NE,17.3,-,N/A,,Overcast,50,2009-11-17 00:51:00
7:51 PM,46.9,32.0,56,30.17,10.0,ENE,17.3,-,N/A,,Overcast,60,2009-11-17 01:51:00
8:51 PM,46.4,33.8,62,30.15,10.0,ENE,19.6,26.5,N/A,,Overcast,70,2009-11-17 02:51:00
9:51 PM,46.9,34.0,61,30.16,10.0,ENE,18.4,27.6,N/A,,Overcast,60,2009-11-17 03:51:00
10:51 PM,46.0,34.0,63,30.16,10.0,ENE,20.7,27.6,N/A,,Overcast,60,2009-11-17 04:51:00
11:51 PM,46.0,35.1,66,30.15,10.0,ENE,17.3,28.8,N/A,,Overcast,70,2009-11-17 05:51:00
