TimeCST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,53.1,42.1,66,30.01,10.0,South,8.1,-,N/A,,Clear,180,2008-11-05 06:51:00
1:51 AM,50.0,42.1,74,30.02,10.0,South,8.1,-,N/A,,Clear,170,2008-11-05 07:51:00
2:51 AM,48.9,42.1,77,30.02,10.0,South,6.9,-,N/A,,Clear,180,2008-11-05 08:51:00
3:51 AM,52.0,43.0,71,30.03,10.0,South,9.2,-,N/A,,Clear,180,2008-11-05 09:51:00
4:51 AM,48.0,42.1,80,30.02,10.0,SSE,8.1,-,N/A,,Clear,160,2008-11-05 10:51:00
5:51 AM,48.0,42.1,80,30.01,9.0,South,8.1,-,N/A,,Clear,170,2008-11-05 11:51:00
6:51 AM,50.0,43.0,77,30.01,10.0,South,8.1,-,N/A,,Partly Cloudy,180,2008-11-05 12:51:00
7:51 AM,54.0,45.0,72,30.01,10.0,South,8.1,-,N/A,,Partly Cloudy,170,2008-11-05 13:51:00
8:51 AM,60.1,46.0,60,30.01,10.0,SSW,15.0,-,N/A,,Partly Cloudy,200,2008-11-05 14:51:00
9:51 AM,64.9,48.0,54,29.99,10.0,SSW,18.4,27.6,N/A,,Partly Cloudy,200,2008-11-05 15:51:00
10:51 AM,66.9,48.9,52,29.98,10.0,South,21.9,27.6,N/A,,Scattered Clouds,190,2008-11-05 16:51:00
11:51 AM,69.1,48.9,49,29.94,10.0,South,23.0,28.8,N/A,,Scattered Clouds,190,2008-11-05 17:51:00
12:51 PM,71.1,48.0,44,29.91,10.0,South,21.9,28.8,N/A,,Scattered Clouds,190,2008-11-05 18:51:00
1:51 PM,70.0,46.9,44,29.90,10.0,South,20.7,28.8,N/A,,Mostly Cloudy,180,2008-11-05 19:51:00
2:51 PM,69.1,46.9,45,29.89,10.0,South,18.4,28.8,N/A,,Mostly Cloudy,180,2008-11-05 20:51:00
3:51 PM,69.1,46.0,44,29.88,10.0,South,19.6,29.9,N/A,,Mostly Cloudy,180,2008-11-05 21:51:00
4:51 PM,66.9,46.0,47,29.89,10.0,South,17.3,24.2,N/A,,Mostly Cloudy,180,2008-11-05 22:51:00
5:51 PM,64.0,46.9,54,29.91,10.0,South,12.7,-,N/A,,Mostly Cloudy,170,2008-11-05 23:51:00
6:51 PM,63.0,46.9,56,29.91,10.0,South,12.7,-,N/A,,Mostly Cloudy,180,2008-11-06 00:51:00
7:51 PM,62.1,46.0,56,29.91,10.0,South,11.5,-,N/A,,Mostly Cloudy,170,2008-11-06 01:51:00
8:51 PM,62.1,46.0,56,29.90,10.0,South,12.7,-,N/A,,Mostly Cloudy,170,2008-11-06 02:51:00
9:51 PM,61.0,45.0,56,29.89,10.0,South,12.7,-,N/A,,Mostly Cloudy,170,2008-11-06 03:51:00
10:51 PM,60.1,45.0,57,29.88,10.0,South,12.7,-,N/A,,Mostly Cloudy,170,2008-11-06 04:51:00
11:51 PM,60.1,45.0,57,29.88,10.0,South,11.5,-,N/A,,Mostly Cloudy,180,2008-11-06 05:51:00
